SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,10,DSDV,7.5
1,0,0,10,DSDV,7.5
2,0,0,10,DSDV,7.5
3,0,0,10,DSDV,7.5
4,0,0,10,DSDV,7.5
5,0,0,10,DSDV,7.5
6,0,0,10,DSDV,7.5
7,0,0,10,DSDV,7.5
8,0,0,10,DSDV,7.5
9,0,0,10,DSDV,7.5
10,0,0,10,DSDV,7.5
11,0,0,10,DSDV,7.5
12,0,0,10,DSDV,7.5
13,0,0,10,DSDV,7.5
14,0,0,10,DSDV,7.5
15,0,0,10,DSDV,7.5
16,0,0,10,DSDV,7.5
17,0,0,10,DSDV,7.5
18,0,0,10,DSDV,7.5
19,0,0,10,DSDV,7.5
20,0,0,10,DSDV,7.5
21,0,0,10,DSDV,7.5
22,0,0,10,DSDV,7.5
23,0,0,10,DSDV,7.5
24,0,0,10,DSDV,7.5
25,0,0,10,DSDV,7.5
26,0,0,10,DSDV,7.5
27,0,0,10,DSDV,7.5
28,0,0,10,DSDV,7.5
29,0,0,10,DSDV,7.5
30,0,0,10,DSDV,7.5
31,0,0,10,DSDV,7.5
32,0,0,10,DSDV,7.5
33,0,0,10,DSDV,7.5
34,0,0,10,DSDV,7.5
35,0,0,10,DSDV,7.5
36,0,0,10,DSDV,7.5
37,0,0,10,DSDV,7.5
38,0,0,10,DSDV,7.5
39,0,0,10,DSDV,7.5
40,0,0,10,DSDV,7.5
41,0,0,10,DSDV,7.5
42,0,0,10,DSDV,7.5
43,0,0,10,DSDV,7.5
44,0,0,10,DSDV,7.5
45,0,0,10,DSDV,7.5
46,0,0,10,DSDV,7.5
47,0,0,10,DSDV,7.5
48,0,0,10,DSDV,7.5
49,0,0,10,DSDV,7.5
50,0,0,10,DSDV,7.5
51,0,0,10,DSDV,7.5
52,0,0,10,DSDV,7.5
53,0,0,10,DSDV,7.5
54,0,0,10,DSDV,7.5
55,0,0,10,DSDV,7.5
56,0,0,10,DSDV,7.5
57,0,0,10,DSDV,7.5
58,0,0,10,DSDV,7.5
59,0,0,10,DSDV,7.5
60,0,0,10,DSDV,7.5
61,0,0,10,DSDV,7.5
62,0,0,10,DSDV,7.5
63,0,0,10,DSDV,7.5
64,0,0,10,DSDV,7.5
65,0,0,10,DSDV,7.5
66,0,0,10,DSDV,7.5
67,0,0,10,DSDV,7.5
68,0,0,10,DSDV,7.5
69,0,0,10,DSDV,7.5
70,0,0,10,DSDV,7.5
71,0,0,10,DSDV,7.5
72,0,0,10,DSDV,7.5
73,0,0,10,DSDV,7.5
74,0,0,10,DSDV,7.5
75,0,0,10,DSDV,7.5
76,0,0,10,DSDV,7.5
77,0,0,10,DSDV,7.5
78,0,0,10,DSDV,7.5
79,0,0,10,DSDV,7.5
80,0,0,10,DSDV,7.5
81,0,0,10,DSDV,7.5
82,0,0,10,DSDV,7.5
83,0,0,10,DSDV,7.5
84,0,0,10,DSDV,7.5
85,0,0,10,DSDV,7.5
86,0,0,10,DSDV,7.5
87,0,0,10,DSDV,7.5
88,0,0,10,DSDV,7.5
89,0,0,10,DSDV,7.5
90,0,0,10,DSDV,7.5
91,0,0,10,DSDV,7.5
92,0,0,10,DSDV,7.5
93,0,0,10,DSDV,7.5
94,0,0,10,DSDV,7.5
95,0,0,10,DSDV,7.5
96,0,0,10,DSDV,7.5
97,0,0,10,DSDV,7.5
98,0,0,10,DSDV,7.5
99,0,0,10,DSDV,7.5
100,0,0,10,DSDV,7.5
101,3.584,7,10,DSDV,7.5
102,6.656,13,10,DSDV,7.5
103,6.144,12,10,DSDV,7.5
104,7.68,15,10,DSDV,7.5
105,7.168,14,10,DSDV,7.5
106,6.144,12,10,DSDV,7.5
107,7.168,14,10,DSDV,7.5
108,6.144,12,10,DSDV,7.5
109,6.656,13,10,DSDV,7.5
110,5.632,11,10,DSDV,7.5
111,6.656,13,10,DSDV,7.5
112,6.144,12,10,DSDV,7.5
113,6.656,13,10,DSDV,7.5
114,5.632,11,10,DSDV,7.5
115,7.68,15,10,DSDV,7.5
116,7.168,14,10,DSDV,7.5
117,5.632,11,10,DSDV,7.5
118,7.68,15,10,DSDV,7.5
119,6.656,13,10,DSDV,7.5
120,7.68,15,10,DSDV,7.5
121,7.168,14,10,DSDV,7.5
122,6.656,13,10,DSDV,7.5
123,7.68,15,10,DSDV,7.5
124,6.144,12,10,DSDV,7.5
125,6.144,12,10,DSDV,7.5
126,6.144,12,10,DSDV,7.5
127,7.68,15,10,DSDV,7.5
128,6.656,13,10,DSDV,7.5
129,5.632,11,10,DSDV,7.5
130,6.656,13,10,DSDV,7.5
131,7.168,14,10,DSDV,7.5
132,6.656,13,10,DSDV,7.5
133,6.656,13,10,DSDV,7.5
134,6.144,12,10,DSDV,7.5
135,7.168,14,10,DSDV,7.5
136,4.096,8,10,DSDV,7.5
137,4.096,8,10,DSDV,7.5
138,10.752,21,10,DSDV,7.5
139,6.144,12,10,DSDV,7.5
140,6.144,12,10,DSDV,7.5
141,6.144,12,10,DSDV,7.5
142,6.656,13,10,DSDV,7.5
143,5.632,11,10,DSDV,7.5
144,6.656,13,10,DSDV,7.5
145,7.168,14,10,DSDV,7.5
146,5.632,11,10,DSDV,7.5
147,6.144,12,10,DSDV,7.5
148,5.632,11,10,DSDV,7.5
149,7.68,15,10,DSDV,7.5
150,6.656,13,10,DSDV,7.5
151,5.632,11,10,DSDV,7.5
152,5.632,11,10,DSDV,7.5
153,6.656,13,10,DSDV,7.5
154,8.192,16,10,DSDV,7.5
155,6.144,12,10,DSDV,7.5
156,7.168,14,10,DSDV,7.5
157,6.144,12,10,DSDV,7.5
158,6.144,12,10,DSDV,7.5
159,6.144,12,10,DSDV,7.5
160,7.168,14,10,DSDV,7.5
161,6.144,12,10,DSDV,7.5
162,6.144,12,10,DSDV,7.5
163,5.632,11,10,DSDV,7.5
164,7.168,14,10,DSDV,7.5
165,6.144,12,10,DSDV,7.5
166,4.608,9,10,DSDV,7.5
167,4.608,9,10,DSDV,7.5
168,6.144,12,10,DSDV,7.5
169,6.656,13,10,DSDV,7.5
170,7.168,14,10,DSDV,7.5
171,7.168,14,10,DSDV,7.5
172,5.632,11,10,DSDV,7.5
173,6.144,12,10,DSDV,7.5
174,6.656,13,10,DSDV,7.5
175,6.656,13,10,DSDV,7.5
176,7.168,14,10,DSDV,7.5
177,5.632,11,10,DSDV,7.5
178,7.168,14,10,DSDV,7.5
179,6.656,13,10,DSDV,7.5
180,6.144,12,10,DSDV,7.5
181,4.096,8,10,DSDV,7.5
182,2.56,5,10,DSDV,7.5
183,6.144,12,10,DSDV,7.5
184,8.704,17,10,DSDV,7.5
185,7.168,14,10,DSDV,7.5
186,7.168,14,10,DSDV,7.5
187,6.656,13,10,DSDV,7.5
188,7.168,14,10,DSDV,7.5
189,6.144,12,10,DSDV,7.5
190,6.144,12,10,DSDV,7.5
191,6.144,12,10,DSDV,7.5
192,6.144,12,10,DSDV,7.5
193,6.144,12,10,DSDV,7.5
194,6.144,12,10,DSDV,7.5
195,6.656,13,10,DSDV,7.5
196,4.608,9,10,DSDV,7.5
197,6.144,12,10,DSDV,7.5
